CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
224,PROJECT,DATA ARCHAEOLOGY AND RESCUE,,,,,,,,
1037,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
1037,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
1037,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,NUMBER,,,,,,,,,

STATION,5889,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,15,1977

HEADERS,,, , , ,,,,,
,,,,1100,188,0,OITHONA SIMILIS   Cop 
,,,,5,0,0,OITHONA SIMILIS   Naup 
,,,,3,810,1000,ONCAEA BOREALIS   Female  Cop 6
,,,,0,63,128,ONCAEA BOREALIS   Male  Cop 6
,,,,0,1420,390,ONCAEA BOREALIS   Cop 
,,,,10,0,1,PARAFAVELLA DENTICULATA
,,,,2,0,0,PODON LEUCKARTI
,,,,30,3,1,POLYCHAETA Larvae
,,,,0,63,390,PSEUDOCALANUS MINUTUS   Female  Cop 6
,,,,0,0,3,PSEUDOCALANUS MINUTUS   Male  Cop 6
,,,,10,690,486,PSEUDOCALANUS MINUTUS   Cop 5
,,,,300,880,1520,PSEUDOCALANUS MINUTUS   Cop 4
,,,,300,630,338,PSEUDOCALANUS MINUTUS   Cop 3
,,,,1500,323,128,PSEUDOCALANUS MINUTUS   Cop 2
,,,,2200,8800,5,PSEUDOCALANUS MINUTUS   Cop 1
,,,,300,810,3,PSEUDOCALANUS MINUTUS   Naup 
,,,,200,18,1,SAGITTA ELEGANS
,,,,1,0,0,TEMORA LONGICORNIS   Cop 
,,,,10,0,0,TEMORA LONGICORNIS   Juv
,,,,5,0,0,TEMORA LONGICORNIS   Naup 
STATION,6024,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,30,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
