"Location","ST","CO","Median Value (Dollars) for Specified Owner-Occupied Housing Units","Disabilities- White Alone Males","Disabilities- White Alone Females","Disabilities- Black Alone Males","Disabilities- Black Alone Females","Disabilities- American Indian and Alaska Native Alone Males","Disabilities- American Indian and Alaska Native Alone Females","Disabilities- Asian Alone Males","Disabilities -PCT68D- Asian Alone Females","Disabilities- Native Hawaiian or Pacific Islander Alone Males","Disabilities- Native Hawaiian or Pacific Islander Alone Females","Disabilities- Some Other Race Males","Disabilities- Some Other Race Females","Disabilities- Two or More Races Males","Disabilities- Two or More Races Females","Disabilities- Hispanic Males","Disabilities- Hispanic Females","Disabilities- White Alone, Not Hispanic Males","Disabilities- White Alone, Not Hispanic Females","Per Capita Income 2001","Per Capita Income 2002","Per Capita Income 2003","75% of 3 Year Average Per Capita Income","Unemployment Rate, 2002","Unemployment Rate, 2003","Unemployment Rate, 2004"
"Location","ST","CO","EWP001","EWP03","EWP02A2","EWP02A3","EWP02A4","EWP02A5","EWP02A6","EWP02A7","EWP02A8","EWP02A9","EWP02A10","EWP02A11","EWP02A12","EWP02A13","EWP02A14","EWP02A15","EWP02A16","EWP02A17","EWP02A18","EWP02A19","EWP02A20","EWP02A21","EWP02A22","EWP02A23","EWP02A24","EWP02A25","EWP02A26","EWP02A27","EWP031","EWP04","EWP05","EWP052","EWP06","EWP07","EWP08"
"Hancock County","21","091","71800","2306      ","596       ","656       ","31        ","10        ","8         ","7         ","0         ","7         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","59        ","12        ","11        ","2247      ","584       ","645       ","20429","20517","21299","15561     ","     6.1","     7.1","     5.5"
"Hardin County","21","093","88300","25399     ","6797      ","7195      ","2944      ","828       ","815       ","273       ","75        ","42        ","455       ","125       ","178       ","9         ","4         ","5         ","244       ","70        ","70        ","580       ","129       ","160       ","513       ","174       ","148       ","25219     ","6725      ","7129      ","25327","26377","27808","19878     ","     5.8","     5.7","     5.3"
"Harlan County","21","095","43000","24268     ","5763      ","5250      ","682       ","140       ","152       ","73        ","16        ","30        ","24        ","6         ","3         ","3         ","0         ","3         ","0         ","0         ","0         ","312       ","67        ","85        ","173       ","43        ","44        ","24129     ","5733      ","5214      ","16936","17270","17676","12970     ","     9.0","    10.0","     7.6"
"Harrison County","21","097","83100","6640      ","1670      ","1826      ","121       ","27        ","30        ","117       ","27        ","17        ","15        ","5         ","0         ","0         ","0         ","0         ","28        ","11        ","6         ","33        ","12        ","11        ","31        ","13        ","5         ","6631      ","1668      ","1821      ","21601","22172","23156","16731     ","     5.6","     5.8","     5.4"
"Hart County","21","099","60100","8103      ","1950      ","1996      ","545       ","130       ","150       ","57        ","8         ","21        ","0         ","0         ","0         ","0         ","0         ","0         ","54        ","21        ","2         ","28        ","7         ","8         ","51        ","25        ","6         ","8082      ","1938      ","1992      ","16670","16772","16941","12595     ","     5.3","     6.2","     5.0"
"Henderson County","21","101","76600","15422     ","4000      ","4336      ","1431      ","447       ","396       ","57        ","6         ","21        ","24        ","9         ","4         ","0         ","0         ","0         ","8         ","1         ","6         ","244       ","62        ","46        ","65        ","4         ","24        ","15369     ","3999      ","4318      ","24340","25065","26232","18909     ","     5.3","     5.5","     4.5"
"Henry County","21","103","82100","5956      ","1559      ","1606      ","287       ","83        ","107       ","8         ","2         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","27        ","26        ","0         ","62        ","14        ","24        ","44        ","34        ","8         ","5942      ","1554      ","1598      ","22884","23062","23837","17445     ","     4.4","     5.3","     4.7"
"Hickman County","21","105","49200","1737      ","552       ","510       ","271       ","65        ","90        ","2         ","0         ","2         ","10        ","6         ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","29        ","11        ","3         ","3         ","3         ","0         ","1734      ","549       ","510       ","32712","30959","33423","24273     ","     6.6","     8.8","     8.5"
"Hopkins County","21","107","57200","18972     ","4940      ","5121      ","1495      ","311       ","440       ","3         ","0         ","3         ","24        ","7         ","6         ","6         ","0         ","2         ","30        ","14        ","7         ","164       ","46        ","53        ","113       ","54        ","21        ","18902     ","4915      ","5107      ","22280","22717","23368","17091     ","     5.6","     6.7","     5.3"
"Jackson County","21","109","48300","8240      ","2051      ","1982      ","0         ","0         ","0         ","36        ","11        ","5         ","0         ","0         ","0         ","0         ","0         ","0         ","53        ","2         ","18        ","16        ","4         ","8         ","24        ","13        ","7         ","8233      ","2051      ","1975      ","14036","14358","14760","10788     ","     7.7","     7.8","     6.4"
"Jefferson County","21","111","103000","173285    ","44964     ","50627     ","52802     ","13196     ","16674     ","1234      ","288       ","237       ","2393      ","632       ","752       ","158       ","67        ","38        ","1167      ","438       ","306       ","4376      ","1247      ","1110      ","3675      ","1382      ","840       ","171465    ","44241     ","50208     ","33079","35068","36071","26054     ","     5.7","     6.2","     5.2"
"Jessamine County","21","113","102100","12018     ","2977      ","3374      ","426       ","145       ","101       ","68        ","14        ","17        ","71        ","18        ","18        ","8         ","0         ","8         ","18        ","6         ","0         ","117       ","29        ","38        ","121       ","45        ","23        ","11942     ","2950      ","3354      ","25391","25138","25940","19116     ","     4.2","     4.6","     4.1"
"Johnson County","21","115","64700","15597     ","3718      ","3493      ","44        ","9         ","14        ","18        ","6         ","0         ","50        ","10        ","0         ","33        ","11        ","0         ","0         ","0         ","0         ","115       ","34        ","18        ","59        ","15        ","14        ","15538     ","3703      ","3479      ","19740","20338","20204","15070     ","     6.3","     6.9","     6.4"
"Kenton County","21","117","105600","44824     ","12037     ","12890     ","2312      ","624       ","596       ","108       ","40        ","36        ","151       ","64        ","43        ","0         ","0         ","0         ","117       ","76        ","18        ","722       ","167       ","218       ","365       ","107       ","105       ","44594     ","12006     ","12811     ","29395","31396","32449","23310     ","     4.4","     4.9","     4.6"
"Knott County","21","119","46500","12212     ","2903      ","2550      ","155       ","51        ","16        ","48        ","6         ","5         ","14        ","0         ","7         ","0         ","0         ","0         ","0         ","0         ","0         ","117       ","24        ","35        ","72        ","14        ","15        ","12141     ","2889      ","2536      ","16566","16745","17092","12600     ","     6.7","     6.5","     6.1"
"Knox County","21","121","59400","21720     ","4867      ","5011      ","176       ","67        ","30        ","124       ","18        ","18        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","203       ","44        ","34        ","69        ","17        ","16        ","21655     ","4850      ","4999      ","17474","18232","18785","13622     ","     7.1","     7.8","     6.5"
"Larue County","21","123","72100","5616      ","1480      ","1467      ","279       ","76        ","62        ","7         ","7         ","0         ","0         ","0         ","0         ","18        ","0         ","6         ","0         ","0         ","0         ","157       ","28        ","35        ","55        ","9         ","8         ","5561      ","1471      ","1459      ","23585","23692","24946","18055     ","     5.5","     5.3","     5.0"
"Laurel County","21","125","77300","26676     ","6659      ","6495      ","166       ","63        ","23        ","97        ","33        ","12        ","20        ","0         ","10        ","0         ","0         ","0         ","24        ","4         ","4         ","436       ","68        ","119       ","123       ","46        ","21        ","26570     ","6624      ","6474      ","20217","20129","20473","15204     ","     5.9","     6.7","     5.4"
"Lawrence County","21","127","56300","9812      ","2197      ","2285      ","5         ","0         ","5         ","8         ","0         ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","70        ","10        ","15        ","29        ","4         ","9         ","9783      ","2193      ","2276      ","16281","16634","16926","12459     ","     7.9","     8.9","     7.7"
"Lee County","21","129","52300","4833      ","1205      ","1040      ","54        ","16        ","6         ","21        ","7         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","4         ","0         ","1         ","0         ","0         ","0         ","4833      ","1205      ","1040      ","15557","16165","16613","12083     ","     7.5","     9.1","     7.5"
"Leslie County","21","131","36900","9581      ","2273      ","1945      ","12        ","0         ","6         ","60        ","14        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","85        ","31        ","4         ","134       ","40        ","24        ","9465      ","2239      ","1921      ","17341","17573","17590","13125     ","     8.6","     9.9","     8.2"
