SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,017,Maryland,Charles County,9,139302,67758,71544,9690,4975,4715,18745,9635,9110,9311,4635,4676,12359,6061,6298,106234,50822,55412,101556,48513,53043,62714,30362,32352,34488,16720,17768,11327,4866,6461,1171,311,860,34.9,33.9,35.7
050,24,017,Maryland,Charles County,10,140444,68244,72200,9886,5075,4811,18532,9495,9037,9207,4637,4570,12489,6108,6381,107467,51317,56150,102819,49037,53782,62905,30423,32482,35255,17087,18168,11651,5003,6648,1205,324,881,34.9,33.9,35.8
050,24,019,Maryland,Dorchester County,1,30674,14510,16164,1650,850,800,3760,1865,1895,1741,891,850,2070,1006,1064,24368,11342,13026,23523,10904,12619,11605,5626,5979,7813,3704,4109,5423,2263,3160,629,190,439,40.7,39.6,41.9
050,24,019,Maryland,Dorchester County,2,30674,14510,16164,1650,850,800,3760,1865,1895,1741,891,850,2070,1006,1064,24368,11342,13026,23523,10904,12619,11605,5626,5979,7813,3704,4109,5423,2263,3160,629,190,439,40.7,39.6,41.9
050,24,019,Maryland,Dorchester County,3,30587,14469,16118,1641,844,797,3733,1851,1882,1733,887,846,2069,1004,1065,24319,11322,12997,23480,10887,12593,11550,5600,5950,7826,3712,4114,5418,2262,3156,635,193,442,40.8,39.7,42.0
050,24,019,Maryland,Dorchester County,4,30607,14448,16159,1670,837,833,3646,1814,1832,1737,886,851,2217,1071,1146,24444,11383,13061,23554,10911,12643,11501,5564,5937,7971,3776,4195,5394,2247,3147,657,195,462,41.0,39.9,42.1
050,24,019,Maryland,Dorchester County,5,30443,14374,16069,1628,817,811,3545,1766,1779,1748,892,856,2231,1090,1141,24422,11362,13060,23522,10899,12623,11408,5529,5879,8096,3831,4265,5346,2216,3130,680,204,476,41.3,40.1,42.3
050,24,019,Maryland,Dorchester County,6,30479,14397,16082,1627,811,816,3441,1715,1726,1724,876,848,2299,1152,1147,24543,11423,13120,23687,10995,12692,11440,5567,5873,8183,3873,4310,5343,2201,3142,680,200,480,41.5,40.2,42.5
050,24,019,Maryland,Dorchester County,7,30872,14605,16267,1745,876,869,3336,1666,1670,1788,924,864,2432,1210,1222,24876,11592,13284,24003,11139,12864,11623,5649,5974,8312,3947,4365,5393,2232,3161,690,211,479,41.5,40.2,42.6
050,24,019,Maryland,Dorchester County,8,31140,14739,16401,1731,875,856,3241,1640,1601,1850,943,907,2435,1206,1229,25220,11757,13463,24318,11281,13037,11828,5747,6081,8403,3992,4411,5460,2260,3200,729,227,502,41.6,40.1,42.7
