stcty,reg,div,stname,ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem
30005,4,8,Montana,Blaine County,3,6985,3447,3538,559,273,286,1127,552,575,551,293,258,574,317,257,5033,2484,2549,4748,2329,2419,2745,1399,1346,897,401,496,114,45,69
30007,4,8,Montana,Broadwater County,3,4374,2226,2148,228,118,110,565,270,295,294,167,127,211,116,95,3433,1747,1686,3287,1671,1616,1579,810,769,721,346,375,91,32,59
30009,4,8,Montana,Carbon County,3,9556,4791,4765,487,269,218,1190,616,574,594,310,284,545,286,259,7595,3750,3845,7285,3596,3689,3497,1729,1768,1601,754,847,212,80,132
30011,4,8,Montana,Carter County,3,1350,656,694,55,18,37,187,85,102,113,63,50,57,32,25,1052,522,530,995,490,505,480,247,233,241,105,136,45,15,30
30013,4,8,Montana,Cascade County,3,80183,39674,40509,5333,2758,2575,10494,5317,5177,4918,2523,2395,7455,3913,3542,61924,30348,31576,59438,29076,30362,33476,17064,16412,11293,4836,6457,1455,450,1005
30015,4,8,Montana,Chouteau County,3,5981,3007,2974,377,201,176,892,471,421,432,225,207,389,205,184,4506,2233,2273,4280,2110,2170,2182,1084,1098,1036,466,570,147,56,91
30017,4,8,Montana,Custer County,3,11664,5707,5957,680,368,312,1422,737,685,800,426,374,992,487,505,9193,4401,4792,8762,4176,4586,4593,2254,2339,1986,861,1125,256,95,161
30019,4,8,Montana,Daniels County,3,2013,985,1028,82,41,41,213,107,106,141,59,82,98,56,42,1650,810,840,1577,778,799,607,309,298,476,216,260,63,17,46
30021,4,8,Montana,Dawson County,3,9043,4481,4562,456,222,234,1032,495,537,571,274,297,799,428,371,7273,3631,3642,6984,3490,3494,3482,1801,1681,1605,716,889,232,93,139
30023,4,8,Montana,Deer Lodge County,3,9386,4692,4694,429,227,202,1060,558,502,609,311,298,752,411,341,7632,3782,3850,7288,3596,3692,3464,1780,1684,1764,734,1030,232,65,167
30025,4,8,Montana,Fallon County,3,2811,1418,1393,134,76,58,350,185,165,217,120,97,177,91,86,2217,1098,1119,2110,1037,1073,1061,561,500,506,234,272,62,16,46
30027,4,8,Montana,Fergus County,3,11894,5793,6101,609,305,304,1461,732,729,821,400,421,738,413,325,9436,4569,4867,9003,4356,4647,4167,2111,2056,2362,973,1389,396,122,274
30029,4,8,Montana,Flathead County,3,74732,37048,37684,4420,2226,2194,9815,4994,4821,4957,2595,2362,5602,2830,2772,58041,28548,29493,55540,27233,28307,29714,14846,14868,9723,4347,5376,1152,364,788
30031,4,8,Montana,Gallatin County,3,68292,35533,32759,3930,1999,1931,7460,3857,3603,3454,1817,1637,12787,7104,5683,55197,28751,26446,53448,27860,25588,36086,19353,16733,5781,2514,3267,715,214,501
30033,4,8,Montana,Garfield County,3,1267,652,615,86,46,40,142,75,67,81,44,37,91,53,38,1001,510,491,958,487,471,451,236,215,245,105,140,34,9,25
30035,4,8,Montana,Glacier County,3,13204,6542,6662,1059,567,492,2308,1161,1147,1173,603,570,1228,637,591,9213,4490,4723,8664,4211,4453,5635,2769,2866,1223,557,666,128,45,83
30037,4,8,Montana,Golden Valley County,3,1024,529,495,54,27,27,154,87,67,77,39,38,61,31,30,776,395,381,739,376,363,350,178,172,171,87,84,13,7,6
30039,4,8,Montana,Granite County,3,2841,1456,1385,136,60,76,354,204,150,192,100,92,166,82,84,2242,1144,1098,2159,1092,1067,973,488,485,449,213,236,46,15,31
30041,4,8,Montana,Hill County,3,16630,8285,8345,1178,597,581,2290,1172,1118,1181,631,550,1948,1038,910,12610,6223,6387,11981,5885,6096,7143,3654,3489,2140,864,1276,281,84,197
30043,4,8,Montana,Jefferson County,3,10083,5064,5019,520,269,251,1461,738,723,804,400,404,532,282,250,7695,3859,3836,7298,3657,3641,3783,1864,1919,1044,515,529,113,35,78
30045,4,8,Montana,Judith Basin County,3,2337,1215,1122,120,72,48,326,159,167,171,106,65,116,63,53,1814,937,877,1720,878,842,793,418,375,397,188,209,49,17,32
30047,4,8,Montana,Lake County,3,26628,13086,13542,1771,917,854,3675,1896,1779,1977,1010,967,2163,1093,1070,20226,9777,10449,19205,9263,9942,10118,4937,5181,3867,1809,2058,469,161,308
