Table 1: Carrier Detail by Airport,,,,,,,,,,
"Summarized information by airport, for all O&D markets with an average of ten or more passengers each day",,,,,,,,,,
Carriers with less than 1% market share are not shown.,,,,,,,,,,
Carrier '99' signifies interline traffic.  Please see accompanying documentation for definitions and assumptions.,,,,,,,,,,

Date,Origin,Carrier,Zero-Passengers,Total Passengers,Average Fare,Revenue,RPMs,Avg Nonstop Distance,Passenger Mkt Share,Apt Size
2002,DTW,CO,22500,404350,$204,82452803.6,482861541.6,1060.2207,0.032913024,L
2002,DTW,DL,51080,654150,$155,101331015.5,636413331.1,863.9723152,0.053246086,L
2002,DTW,HP,10380,390140,$148,57904778,754336038.5,1796.450146,0.031756368,L
2002,DTW,NK,0,1295070,$117,151663917.8,1425754370,1100.376335,0.105415285,L
2002,DTW,NW,523630,6536640,$180,1177061250,6125439504,922.9050919,0.532065271,L
2002,DTW,UA,43110,588370,$151,88740623.2,657463433,1061.20929,0.047891768,L
2002,DTW,US,25260,400160,$162,64632822.9,313926034.7,692.5756947,0.03257197,L
2002,DTW,WN,106190,868860,$105,91637094.8,710319698.6,734.0888175,0.070722914,L
2002,DTW,Total,877720,12285410,$163,2007560993,12451056167,974.0938837,1,L
2002,EWR,99,62200,505220,$230,116021676.7,839822944.2,1709.285143,0.029670774,L
2002,EWR,AA,166030,1757040,$196,343931873.7,2644370382,1465.324261,0.10318819,L
2002,EWR,CO,649050,9104880,$201,1827212348,11486409996,1248.107521,0.534715252,L
2002,EWR,DL,110110,1691240,$158,266927042.4,1973008349,1089.942994,0.09932386,L
2002,EWR,FL,3550,221120,$133,29442310.2,222931604,891.9474041,0.012986029,L
2002,EWR,HP,21570,492190,$191,94221820.2,1094795724,2125.312217,0.028905543,L
2002,EWR,NW,62050,653550,$222,144834787.9,778606175.2,1125.717237,0.038381961,L
2002,EWR,TZ,950,282750,$143,40363872.3,352329021.2,1208.874271,0.016605462,L
2002,EWR,UA,147350,1395910,$222,309738533.3,2561359404,1789.149644,0.081979594,L
2002,EWR,US,37510,694050,$154,106562896.4,661110805.6,887.2187739,0.040760463,L
2002,EWR,Total,1270420,17027530,$195,3319483125,22985593535,1318.173339,1,L
2002,FLL,99,45100,387470,$135,52424348.8,496995602.3,1325.955377,0.026574771,L
2002,FLL,AA,118980,1523680,$147,223987728.3,2330716589,1465.519151,0.104502149,L
2002,FLL,B6,1890,1087550,$128,138666081.7,1157335979,1055.028173,0.074590014,L
2002,FLL,CO,63880,1085930,$149,161695470,1475902279,1305.236829,0.074478906,L
2002,FLL,DL,207710,3727280,$131,488960999.8,4452249649,1130.382638,0.25563686,L
2002,FLL,FL,8210,683210,$121,82594388.8,647829281.5,888.1788762,0.046858207,L
2002,FLL,HP,5580,180470,$152,27498712.7,410687825.9,2206.049537,0.012377601,L
2002,FLL,NK,0,1081530,$118,127934305,1251691860,1156.611541,0.07417713,L
2002,FLL,NW,30030,397110,$152,60278477.9,589805072,1319.530659,0.027235934,L
2002,FLL,TZ,6200,372180,$111,41206011.3,442262645.9,1164.35773,0.025526101,L
2002,FLL,UA,24100,210810,$164,34554225.5,352841857.5,1466.883639,0.014458481,L
2002,FLL,US,93020,1475780,$125,184466505.5,1623868659,1030.763657,0.10121691,L
2002,FLL,WN,301560,2184780,$97,212771635.8,1848248637,824.9590439,0.149843934,L
2002,FLL,Total,911010,14580370,$128,1860654187,17319522843,1138.941899,1,L
2002,HNL,99,86990,334690,$250,83515506.3,1193082625,3615.332935,0.030699843,L
2002,HNL,AA,172110,887910,$255,226707381.4,3331897500,3662.45936,0.081444614,L
2002,HNL,AQ,137040,2959880,$56,166889128.9,724721722.5,243.6241368,0.271498559,L
2002,HNL,CO,61400,428580,$321,137397071.4,1872626960,4179.83366,0.039312017,L
2002,HNL,DL,181440,709080,$216,153237426.4,2592748310,3539.092585,0.065041217,L
2002,HNL,HA,371630,3638560,$88,321022420.9,2694058513,738.9156562,0.333751299,L
2002,HNL,NW,50600,431740,$294,127111331.7,1621784096,3639.220364,0.039601872,L
2002,HNL,TZ,2550,299330,$163,48853161.4,779089946.2,2600.800087,0.027456405,L
2002,HNL,UA,227190,1205820,$252,303679404.1,3646695265,2937.601723,0.110605292,L
2002,HNL,Total,1291260,10902010,$144,1570557110,18479595640,1658.822967,1,L
2002,HOU,AA,16890,238660,$166,39551214,250812270.6,978.3875388,0.042648396,M
2002,HOU,DL,21760,410980,$159,65488033.9,415606428.2,932.655774,0.073441875,M
2002,HOU,FL,3530,277060,$154,42660744.9,317164992,1022.425901,0.049510453,M
2002,HOU,WN,527340,4617600,$111,512781998.8,2989496847,637.7517043,0.825162304,M
2002,HOU,Total,582410,5595990,$119,667671058.5,4023614153,696.2289336,1,M
2002,IAD,99,19690,136160,$277,37779480.6,262946629.4,1910.025778,0.021227735,L
2002,IAD,AA,88390,792380,$229,181535916.3,1279984469,1567.007421,0.123534318,L
2002,IAD,AS,9710,70650,$210,14856447.4,183060334.3,2451.008351,0.011014538,L
2002,IAD,B6,480,418290,$138,57680252.1,722976541.5,1724.711301,0.065212613,L
2002,IAD,CO,9270,173560,$207,35941648.3,216551566.3,1137.654586,0.027058503,L
2002,IAD,DL,85250,1272590,$162,205981427.1,1292710407,951.6362379,0.198400437,L
2002,IAD,FL,4010,296420,$126,37314585.2,241261687.7,718.7453276,0.046212729,L
2002,IAD,NW,20860,258670,$196,50825930.1,311359560.4,1138.840492,0.040327396,L
2002,IAD,UA,305600,2681020,$277,741443805,4511866241,1643.227615,0.417978719,L
2002,IAD,US,18580,233600,$156,36531119.1,205238746.5,813.83125,0.036418911,L
2002,IAD,Total,564060,6414250,$221,1414897140,9346786446,1406.854656,1,L
2002,IAH,99,31460,270670,$237,64038288.8,359391837.6,1311.253187,0.026375128,L
2002,IAH,AA,61520,665680,$165,109711008.8,719777184.2,999.7765593,0.064866424,L
2002,IAH,CO,452850,6631650,$194,1284677576,6834275445,1020.501266,0.646213527,L
2002,IAH,DL,41180,646120,$182,117583836.9,746493772.8,1060.468334,0.062960422,L
2002,IAH,HP,8460,340290,$185,62890503.2,487541848.1,1372.423786,0.033159169,L
2002,IAH,NW,48780,471690,$184,86777128.9,598736849.7,1121.082618,0.045963291,L
2002,IAH,UA,46960,554900,$179,99211233.6,688336835.4,1133.509155,0.054071594,L
2002,IAH,US,38090,446010,$177,78841268.8,566133113.7,1189.781597,0.043460933,L
2002,IAH,WN,12230,174530,$86,15091659.9,54560416.65,297.5748582,0.017006876,L
2002,IAH,Total,743030,10262320,$188,1928489146,11134308470,1047.903216,1,L
2002,IND,99,7380,100300,$177,17755068.4,128607140.8,1230.883151,0.017114172,M
2002,IND,AA,42840,705130,$153,107853123.3,858032765.2,1124.077007,0.120316211,M
2002,IND,CO,14990,357300,$190,67912490.2,363690132.6,895.2215505,0.060966038,M
2002,IND,DL,40160,778160,$153,118801037.6,749259811,871.9854529,0.132777308,M
2002,IND,F9,820,60790,$141,8564135.6,78310085.7,1265.742721,0.010372587,M
2002,IND,HP,6910,210720,$135,28383580.7,359469150.4,1606.009966,0.035955118,M
