table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
.Gallatin city,Missouri,"1,773","1,789",-16,-0.9
.Gilman City city (pt.),Missouri,-,-,-,(X)
.Jameson town,Missouri,121,120,1,0.8
.Jamesport city,Missouri,507,505,2,0.4
.Lock Springs village,Missouri,69,69,-,-
.Pattonsburg city,Missouri,263,261,2,0.8
.Winston village,Missouri,247,247,-,-
.Balance of Daviess County,Missouri,"4,688","4,667",21,0.4
DeKalb County,Missouri,"11,553","11,597",-44,-0.4
.Amity town,Missouri,69,70,-1,-1.4
.Cameron city (pt.),Missouri,"3,843","3,825",18,0.5
.Clarksdale city,Missouri,346,351,-5,-1.4
.Maysville city,Missouri,"1,170","1,212",-42,-3.5
.Osborn city (pt.),Missouri,384,391,-7,-1.8
.Stewartsville city,Missouri,749,759,-10,-1.3
.Union Star town,Missouri,423,433,-10,-2.3
.Weatherby town,Missouri,122,123,-1,-0.8
.Balance of DeKalb County,Missouri,"4,447","4,433",14,0.3
Dent County,Missouri,"14,922","14,927",-5,-
.Bunker city (pt.),Missouri,179,179,-,-
.Salem city,Missouri,"4,772","4,854",-82,-1.7
.Balance of Dent County,Missouri,"9,971","9,894",77,0.8
Douglas County,Missouri,"13,330","13,084",246,1.9
.Ava city,Missouri,"3,045","3,021",24,0.8
.Balance of Douglas County,Missouri,"10,285","10,063",222,2.2
Dunklin County,Missouri,"32,805","33,155",-350,-1.1
.Arbyrd city,Missouri,516,528,-12,-2.3
.Campbell city,Missouri,"1,865","1,883",-18,-1.0
.Cardwell city,Missouri,770,789,-19,-2.4
.Clarkton city,Missouri,"1,304","1,330",-26,-2.0
.Holcomb city,Missouri,693,696,-3,-0.4
.Hornersville city,Missouri,677,686,-9,-1.3
.Kennett city,Missouri,"11,156","11,260",-104,-0.9
.Malden city,Missouri,"4,698","4,805",-107,-2.2
.Rives town,Missouri,89,88,1,1.1
.Senath city,Missouri,"1,634","1,650",-16,-1.0
.Balance of Dunklin County,Missouri,"9,403","9,440",-37,-0.4
Franklin County,Missouri,"95,890","93,807","2,083",2.2
.Berger city,Missouri,206,206,-,-
.Gerald city,Missouri,"1,205","1,171",34,2.9
.Leslie village,Missouri,88,87,1,1.1
.Miramiguoa Park village,Missouri,127,127,-,-
.New Haven city,Missouri,"1,889","1,867",22,1.2
.Oak Grove village,Missouri,392,382,10,2.6
.Pacific city (pt.),Missouri,"5,638","5,485",153,2.8
.Parkway village,Missouri,281,280,1,0.4
.St. Clair city,Missouri,"4,430","4,390",40,0.9
.Sullivan city (pt.),Missouri,"5,065","5,032",33,0.7
.Union city,Missouri,"8,193","7,790",403,5.2
.Washington city,Missouri,"13,461","13,243",218,1.6
.Balance of Franklin County,Missouri,"54,915","53,747","1,168",2.2
Gasconade County,Missouri,"15,461","15,342",119,0.8
.Bland city (pt.),Missouri,567,565,2,0.4
.Gasconade city,Missouri,267,267,-,-
.Hermann city,Missouri,"2,684","2,674",10,0.4
.Morrison city,Missouri,123,123,-,-
.Owensville city,Missouri,"2,512","2,500",12,0.5
.Rosebud city,Missouri,368,364,4,1.1
.Balance of Gasconade County,Missouri,"8,940","8,849",91,1.0
Gentry County,Missouri,"6,607","6,861",-254,-3.7
.Albany city,Missouri,"1,865","1,937",-72,-3.7
.Darlington village,Missouri,110,113,-3,-2.7
.Gentry village,Missouri,97,101,-4,-4.0
.King City city,Missouri,960,"1,012",-52,-5.1
.McFall city,Missouri,130,135,-5,-3.7
.Stanberry city,Missouri,"1,204","1,243",-39,-3.1
.Balance of Gentry County,Missouri,"2,241","2,320",-79,-3.4
Greene County,Missouri,"243,355","240,391","2,964",1.2
.Ash Grove city,Missouri,"1,437","1,430",7,0.5
.Battlefield city,Missouri,"2,364","2,385",-21,-0.9
.Brookline village,Missouri,341,326,15,4.6
.Fair Grove city,Missouri,"1,199","1,107",92,8.3
.Republic city,Missouri,"9,378","8,438",940,11.1
.Rogersville city (pt.),Missouri,33,29,4,13.8
.Springfield city (pt.),Missouri,"151,005","151,716",-711,-0.5
.Strafford city,Missouri,"1,867","1,845",22,1.2
.Walnut Grove city,Missouri,624,630,-6,-1.0
.Willard city,Missouri,"3,223","3,193",30,0.9
.Balance of Greene County,Missouri,"71,884","69,292","2,592",3.7
Grundy County,Missouri,"10,213","10,432",-219,-2.1
.Brimson village,Missouri,61,63,-2,-3.2
.Galt city,Missouri,271,275,-4,-1.5
.Laredo city,Missouri,244,250,-6,-2.4
.Spickard city,Missouri,308,315,-7,-2.2
