File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
...Median Earnings,"$26,820 ","$16,951 ","$22,907 ","$28,122 ","$29,201 ","$41,463 ","$38,458 ","$50,961 ","$72,477 ","$75,087 "
....Standard Error,$165 ,$391 ,$419 ,$623 ,$928 ,$316 ,"$1,029 ",$560 ,"$4,770 ","$9,129 "
...Mean Earnings,"$31,888 ","$19,413 ","$25,169 ","$30,696 ","$32,486 ","$50,354 ","$43,901 ","$57,829 ","$106,735 ","$83,432 "
....Standard Error,$325 ,$853 ,$282 ,$717 ,$709 ,"$1,007 ",$915 ,"$1,723 ","$14,476 ","$10,247 "
.Asian Alone,,,,,,,,,,
..With Earnings,"5,593",416,"1,040",613,403,"3,118","1,972",754,197,193
...Median Earnings,"$35,869 ","$20,128 ","$25,075 ","$28,136 ","$31,768 ","$50,167 ","$41,724 ","$61,085 ","$75,777 ","$76,331 "
....Standard Error,$388 ,"$1,073 ",$771 ,"$1,516 ","$1,308 ",$684 ,$577 ,$965 ,"$12,577 ","$4,994 "
...Mean Earnings,"$47,843 ","$21,012 ","$30,081 ","$32,288 ","$39,932 ","$61,441 ","$49,542 ","$74,493 ","$110,222 ","$81,989 "
....Standard Error,"$1,002 ",$985 ,"$1,154 ","$1,314 ","$2,644 ","$1,636 ","$1,535 ","$4,417 ","$9,471 ","$4,827 "
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"15,702","5,674","4,516","2,380",990,"2,141","1,538",431,102,68
...Median Earnings,"$22,927 ","$17,320 ","$23,326 ","$29,558 ","$30,258 ","$40,710 ","$36,932 ","$50,473 ","$46,679 ",(B)
....Standard Error,$270 ,$142 ,$520 ,$808 ,$747 ,$589 ,$637 ,"$1,090 ","$8,672 ",(B)
...Mean Earnings,"$29,978 ","$20,298 ","$28,229 ","$33,861 ","$33,548 ","$53,352 ","$46,586 ","$58,074 ","$94,432 ",(B)
....Standard Error,$393 ,$362 ,$686 ,$911 ,$825 ,"$1,891 ","$1,869 ","$3,357 ","$11,704 ",(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"92,046","8,234","27,630","16,191","9,242","30,747","19,997","7,516","1,768","1,465"
...Median Earnings,"$37,763 ","$21,916 ","$31,151 ","$36,395 ","$38,764 ","$54,361 ","$50,409 ","$60,576 ","$97,633 ","$79,521 "
....Standard Error,$186 ,$120 ,$89 ,$170 ,$594 ,$557 ,$157 ,$311 ,"$9,619 ","$1,681 "
...Mean Earnings,"$49,187 ","$25,927 ","$36,175 ","$42,470 ","$43,919 ","$72,231 ","$62,688 ","$78,388 ","$127,350 ","$104,344 "
....Standard Error,$215 ,$334 ,$242 ,$314 ,$348 ,$535 ,$513 ,"$1,298 ","$3,310 ","$3,394 "
.White Alone,,,,,,,,,,
..With Earnings,"75,239","6,735","22,355","13,157","7,666","25,324","16,352","6,287","1,489","1,196"
