    "","Table 6a.--Direct Investment: Income, Capital, Royalties and License Fees, and Other Private Services",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)",
    "","",
    "","U.S. direct investment abroad:",
    "","",
   "8",          2236,          2225,          2100,          2173,          2206,          2272,          2173,          2263,
   "9",          -764,          -772,          -777,          -877,          -861,          -908,          -793,          -815,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "10",         40059,         47797,         27661,         30379,         32691,         34105,         32410,         34521,
  "11",          9058,         11667,          6633,          7156,          8213,          9685,          8225,          8313,
  "12",          5193,          7163,          3292,          2995,          3624,          3404,          2909,          3829,
  "13",          5118,          5666,          3031,          4015,          4522,          4806,          3263,          3287,
  "14",         12132,         12535,         10139,         11052,          9974,         10364,         10980,         11225,
  "15",          8558,         10766,          4566,          5161,          6358,          5846,          7033,          7867,
  "16",         38587,         46344,         26338,         29083,         31346,         32741,         31030,         33073,
  "17",          8767,         11376,          6328,          6848,          7861,          9342,          7894,          8024,
  "18",          5087,          7058,          3193,          2895,          3531,          3308,          2813,          3743,
  "19",          5115,          5680,          3066,          4112,          4594,          4889,          3344,          3295,
  "20",         11828,         12219,          9866,         10781,          9708,         10091,         10665,         10886,
  "21",          7792,         10011,          3885,          4447,          5652,          5111,          6314,          7125,
  "22",          1472,          1453,          1323,          1296,          1345,          1364,          1380,          1448,
  "23",           290,           291,           305,           308,           352,           343,           331,           289,
  "24",           107,           106,            99,           100,            93,            96,            96,            86,
  "25",             4,           -14,           -35,           -97,           -72,           -83,           -81,            -8,
  "26",           305,           316,           273,           271,           266,           273,           315,           339,
  "27",           767,           755,           681,           714,           706,           735,           719,           742,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "28",        -45096,        -40259,        -39083,        -35459,        -31623,        -31670,        -33784,        -29242,
  "29",         -4143,         -9103,         -9678,         -3266,         -6091,           932,         -4895,         -4843,
  "30",         -7965,        -17113,        -15047,         -8240,        -12277,        -12693,         -9944,         -8776,
  "31",          3822,          8011,          5369,          4974,          6186,         13625,          5049,          3933,
  "32",        -35277,        -32875,        -20199,        -22385,        -23597,        -27970,        -26213,        -26268,
  "33",         -5676,          1719,         -9206,         -9808,         -1935,         -4632,         -2676,          1869,
  "34",         -6790,         -1787,         -1365,        -16228,          -323,         -6964,        -11822,         -8768,
