stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whiteac_tot,whiteac_nonhisp,whiteac_hisp,blackac_tot,blackac_nonhisp,blackac_hisp,aianac_tot,aianac_nonhisp,aianac_hisp,asiaac_tot,asiaac_nonhisp,asiaac_hisp,nhpiac_tot,nhpiac_nonhisp,nhpiac_hisp
18003,2,3,Indiana,Allen County,3,332673,318600,14073,287716,274704,13012,41064,40215,849,2781,2440,341,5880,5748,132,376,343,33
18005,2,3,Indiana,Bartholomew County,3,71702,70098,1604,68818,67286,1532,1586,1547,39,273,262,11,1510,1481,29,14,14,0
18007,2,3,Indiana,Benton County,3,9384,9135,249,9347,9109,238,39,34,5,75,61,14,9,9,0,11,3,8
18009,2,3,Indiana,Blackford County,3,14014,13926,88,13918,13841,77,44,32,12,116,110,6,24,24,0,0,0,0
18011,2,3,Indiana,Boone County,3,46385,45846,539,45863,45363,500,234,216,18,228,199,29,293,290,3,0,0,0
18013,2,3,Indiana,Brown County,3,15001,14872,129,14920,14792,128,46,46,0,63,62,1,44,44,0,3,3,0
18015,2,3,Indiana,Carroll County,3,20169,19576,593,20085,19497,588,51,46,5,62,62,0,13,11,2,3,1,2
18017,2,3,Indiana,Cass County,3,40980,38043,2937,40013,37221,2792,627,577,50,276,205,71,255,246,9,36,8,28
18019,2,3,Indiana,Clark County,3,96795,94975,1820,89346,87682,1664,7069,6972,97,652,599,53,752,736,16,79,62,17
18021,2,3,Indiana,Clay County,3,26558,26392,166,26351,26207,144,126,117,9,167,149,18,49,49,0,8,1,7
18023,2,3,Indiana,Clinton County,3,33970,31448,2522,33680,31267,2413,175,96,79,128,119,9,82,68,14,28,1,27
18025,2,3,Indiana,Crawford County,3,10799,10675,124,10690,10606,84,21,18,3,52,46,6,6,4,2,42,10,32
18027,2,3,Indiana,Daviess County,3,29824,29199,625,29520,28935,585,186,162,24,128,113,15,76,75,1,7,0,7
18029,2,3,Indiana,Dearborn County,3,46347,46082,265,45845,45590,255,382,379,3,210,202,8,171,171,0,3,1,2
18031,2,3,Indiana,Decatur County,3,24572,24439,133,24360,24232,128,21,18,3,67,64,3,196,196,0,0,0,0
18033,2,3,Indiana,DeKalb County,3,40398,39715,683,40049,39387,662,175,175,0,222,204,18,170,169,1,30,23,7
18035,2,3,Indiana,Delaware County,3,118674,117380,1294,109399,108276,1123,8576,8461,115,711,687,24,1017,1002,15,143,115,28
18037,2,3,Indiana,Dubois County,3,39704,38589,1115,39501,38416,1085,79,75,4,105,85,20,98,97,1,16,5,11
18039,2,3,Indiana,Elkhart County,3,183507,166927,16580,170987,155022,15965,11072,10683,389,1457,1231,226,2259,2124,135,231,130,101
18041,2,3,Indiana,Fayette County,3,25548,25420,128,25021,24903,118,492,490,2,74,70,4,84,83,1,5,0,5
